date,timestamp,expiry,K,price,conId,localSymbol,T,dte,moneyness,rate,implied_vol,vega,spot,curve_date,rate_curve_model,nss_fit_target,nss_beta0,nss_beta1,nss_beta2,nss_beta3,nss_tau1,nss_tau2,nss_rmse_bps
2026-09-02,2026-09-02 20:00:00+00:00,2026-09-25,325.0,78.6,909093919,GLD   260925C00325000,0.06297056810403832,23,0.8068920999056558,0.03767970311843859,0.336911958694458,1.343745990774717,402.78,2026-09-02,NSS,continuous_rate,-0.001196933340446035,0.03857268224405938,0.039650787456612456,0.15731369166361667,2.1532279899754223,16.810163806603725,2.060781659511834
2026-09-02,2026-09-02 20:00:00+00:00,2026-09-25,330.0,73.63,909093962,GLD   260925C00330000,0.06297056810403832,23,0.8193058245195889,0.03767970311843859,0.32686355230230835,1.772880609220783,402.78,2026-09-02,NSS,continuous_rate,-0.001196933340446035,0.03857268224405938,0.039650787456612456,0.15731369166361667,2.1532279899754223,16.810163806603725,2.060781659511834
2026-09-02,2026-09-02 20:00:00+00:00,2026-09-25,335.0,68.65,909094012,GLD   260925C00335000,0.06297056810403832,23,0.8317195491335221,0.03767970311843859,0.3091643349673599,2.0325727817670804,402.78,2026-09-02,NSS,continuous_rate,-0.001196933340446035,0.03857268224405938,0.039650787456612456,0.15731369166361667,2.1532279899754223,16.810163806603725,2.060781659511834
2026-09-02,2026-09-02 20:00:00+00:00,2026-09-25,340.0,63.72,909094052,GLD   260925C00340000,0.06297056810403832,23,0.8441332737474553,0.03767970311843859,0.30913857510015363,3.1818149203858357,402.78,2026-09-02,NSS,continuous_rate,-0.001196933340446035,0.03857268224405938,0.039650787456612456,0.15731369166361667,2.1532279899754223,16.810163806603725,2.060781659511834
2026-09-02,2026-09-02 20:00:00+00:00,2026-09-25,345.0,58.65,909094105,GLD   260925C00345000,0.06297056810403832,23,0.8565469983613884,0.03767970311843859,0.25382382366415124,1.7708576814190249,402.78,2026-09-02,NSS,continuous_rate,-0.001196933340446035,0.03857268224405938,0.039650787456612456,0.15731369166361667,2.1532279899754223,16.810163806603725,2.060781659511834
2026-09-02,2026-09-02 20:00:00+00:00,2026-09-25,347.0,56.65,909094212,GLD   260925C00347000,0.06297056810403832,23,0.8615124882069617,0.03767970311843859,0.2427883654695005,1.7014900979045953,402.78,2026-09-02,NSS,continuous_rate,-0.001196933340446035,0.03857268224405938,0.039650787456612456,0.15731369166361667,2.1532279899754223,16.810163806603725,2.060781659511834
2026-09-02,2026-09-02 20:00:00+00:00,2026-09-25,348.0,55.88,909094252,GLD   260925C00348000,0.06297056810403832,23,0.8639952331297484,0.03767970311843859,0.30344605887783704,5.577458900896544,402.78,2026-09-02,NSS,continuous_rate,-0.001196933340446035,0.03857268224405938,0.039650787456612456,0.15731369166361667,2.1532279899754223,16.810163806603725,2.060781659511834
2026-09-02,2026-09-02 20:00:00+00:00,2026-09-25,349.0,54.78,909094297,GLD   260925C00349000,0.06297056810403832,23,0.8664779780525349,0.03767970311843859,0.27765220373403277,4.208970063954111,402.78,2026-09-02,NSS,continuous_rate,-0.001196933340446035,0.03857268224405938,0.039650787456612456,0.15731369166361667,2.1532279899754223,16.810163806603725,2.060781659511834
2026-09-02,2026-09-02 20:00:00+00:00,2026-09-25,350.0,53.85,909094354,GLD   260925C00350000,0.06297056810403832,23,0.8689607229753216,0.03767970311843859,0.2871542187563143,5.261376648568588,402.78,2026-09-02,NSS,continuous_rate,-0.001196933340446035,0.03857268224405938,0.039650787456612456,0.15731369166361667,2.1532279899754223,16.810163806603725,2.060781659511834
2026-09-02,2026-09-02 20:00:00+00:00,2026-09-25,351.0,52.85,909094406,GLD   260925C00351000,0.06297056810403832,23,0.8714434678981082,0.03767970311843859,0.2818144758130424,5.2981803745965275,402.78,2026-09-02,NSS,continuous_rate,-0.001196933340446035,0.03857268224405938,0.039650787456612456,0.15731369166361667,2.1532279899754223,16.810163806603725,2.060781659511834
