date,timestamp,expiry,K,price,conId,localSymbol,T,dte,moneyness,rate,implied_vol,vega,spot,curve_date,rate_curve_model,nss_fit_target,nss_beta0,nss_beta1,nss_beta2,nss_beta3,nss_tau1,nss_tau2,nss_rmse_bps,_row_id,market_iv,model_price,model_iv,iv_residual,price_residual
2026-09-02,2026-09-02 20:00:00+00:00,2026-11-20,325.0,81.47,838421482,GLD   261120C00325000,0.216290212183436,79,0.8068920999056558,0.0383681078448086,0.2905135066016577,17.11111956585086,402.78,2026-09-02,NSS,continuous_rate,-0.001196933340446,0.0385726822440593,0.0396507874566124,0.1573136916636166,2.1532279899754223,16.810163806603725,2.060781659511834,0,0.2905135066016577,81.20497070449298,0.27369738892251627,0.01681611767914143,0.2650292955070199
2026-09-02,2026-09-02 20:00:00+00:00,2026-11-20,335.0,71.8,838421587,GLD   261120C00335000,0.216290212183436,79,0.8317195491335221,0.0383681078448086,0.2703128813662566,20.95873614268959,402.78,2026-09-02,NSS,continuous_rate,-0.001196933340446,0.0385726822440593,0.0396507874566124,0.1573136916636166,2.1532279899754223,16.810163806603725,2.060781659511834,2,0.2703128813662566,71.76087835392612,0.2684309116608463,0.001881969705410269,0.039121646073880356
2026-09-02,2026-09-02 20:00:00+00:00,2026-11-20,360.0,49.28,838421860,GLD   261120C00360000,0.216290212183436,79,0.893788172203188,0.0383681078448086,0.2526102088936605,41.475371454651885,402.78,2026-09-02,NSS,continuous_rate,-0.001196933340446,0.0385726822440593,0.0396507874566124,0.1573136916636166,2.1532279899754223,16.810163806603725,2.060781659511834,7,0.2526102088936605,49.46160850205537,0.25695019704857835,-0.004339988154917873,-0.1816085020553686
2026-09-02,2026-09-02 20:00:00+00:00,2026-11-20,385.0,29.95,838422120,GLD   261120C00385000,0.216290212183436,79,0.9558567952728536,0.0383681078448086,0.240741736569535,64.8229597284498,402.78,2026-09-02,NSS,continuous_rate,-0.001196933340446,0.0385726822440593,0.0396507874566124,0.1573136916636166,2.1532279899754223,16.810163806603725,2.060781659511834,12,0.240741736569535,30.489632173100496,0.24903535212343558,-0.008293615553900596,-0.5396321731004967
2026-09-02,2026-09-02 20:00:00+00:00,2026-11-20,415.0,14.25,838422419,GLD   261120C00415000,0.216290212183436,79,1.0303391429564528,0.0383681078448086,0.2425125272096134,74.05208412842042,402.78,2026-09-02,NSS,continuous_rate,-0.001196933340446,0.0385726822440593,0.0396507874566124,0.1573136916636166,2.1532279899754223,16.810163806603725,2.060781659511834,18,0.2425125272096134,14.51727873167653,0.24612097611324862,-0.0036084489036352363,-0.26727873167653016
2026-09-02,2026-09-02 20:00:00+00:00,2026-11-20,445.0,6.23,838422733,GLD   261120C00445000,0.216290212183436,79,1.1048214906400518,0.0383681078448086,0.2534140126748011,57.81323303892352,402.78,2026-09-02,NSS,continuous_rate,-0.001196933340446,0.0385726822440593,0.0396507874566124,0.1573136916636166,2.1532279899754223,16.810163806603725,2.060781659511834,24,0.2534140126748011,6.036682789976441,0.250056750415545,0.003357262259256144,0.19331721002355984
2026-09-02,2026-09-02 20:00:00+00:00,2026-11-20,465.0,3.6,838422937,GLD   261120C00465000,0.216290212183436,79,1.1544763890957843,0.0383681078448086,0.2637808086042292,43.4256220196352,402.78,2026-09-02,NSS,continuous_rate,-0.001196933340446,0.0385726822440593,0.0396507874566124,0.1573136916636166,2.1532279899754223,16.810163806603725,2.060781659511834,28,0.2637808086042292,3.229762070681725,0.25507727961754434,0.00870352898668486,0.37023792931827515
2026-09-02,2026-09-02 20:00:00+00:00,2026-11-20,480.0,2.46,838423086,GLD   261120C00480000,0.216290212183436,79,1.1917175629375838,0.0383681078448086,0.2735181129124946,34.21399641915241,402.78,2026-09-02,NSS,continuous_rate,-0.001196933340446,0.0385726822440593,0.0396507874566124,0.1573136916636166,2.1532279899754223,16.810163806603725,2.060781659511834,31,0.2735181129124946,2.001533019843831,0.2594848431869411,0.014033269725553521,0.45846698015616916
2026-09-02,2026-09-02 20:00:00+00:00,2026-12-31,325.0,83.65,843069639,GLD   261231C00325000,0.3285420944558521,120,0.8068920999056558,0.0388287411113203,0.2701540474778973,27.90184344534296,402.78,2026-09-02,NSS,continuous_rate,-0.001196933340446,0.0385726822440593,0.0396507874566124,0.1573136916636166,2.1532279899754223,16.810163806603725,2.060781659511834,64,0.2701540474778973,83.5881298727906,0.26791667355978865,0.0022373739181086316,0.06187012720940288
2026-09-02,2026-09-02 20:00:00+00:00,2026-12-31,386.0,33.98,843071143,GLD   261231C00386000,0.3285420944558521,120,0.9583395401956404,0.0388287411113203,0.2392664207330905,82.39921811042386,402.78,2026-09-02,NSS,continuous_rate,-0.001196933340446,0.0385726822440593,0.0396507874566124,0.1573136916636166,2.1532279899754223,16.810163806603725,2.060781659511834,97,0.2392664207330905,34.64552405462313,0.24732251652805134,-0.008056095794960833,-0.665524054623134
2026-09-02,2026-09-02 20:00:00+00:00,2026-12-31,417.0,18.2,843072617,GLD   261231C00417000,0.3285420944558521,120,1.035304632802026,0.0388287411113203,0.2405657853146084,91.72934547349386,402.78,2026-09-02,NSS,continuous_rate,-0.001196933340446,0.0385726822440593,0.0396507874566124,0.1573136916636166,2.1532279899754223,16.810163806603725,2.060781659511834,128,0.2405657853146084,18.595823457951955,0.2448801346718334,-0.004314349357224995,-0.3958234579519555
