model,spot0,rate,years,n_steps,n_paths,terminal_mean,terminal_median,terminal_std,return_mean_pct,return_median_pct,return_std_pct,terminal_p01,terminal_p05,terminal_p50,terminal_p95,terminal_p99
Black-Scholes,402.78,0.04071937723511825,5.0,260,4096,490.41110776107223,423.37629973890375,290.6448585787436,21.756568787197054,5.1135358604954995,72.15970469704146,108.92397155708466,159.4756413760404,423.37629973890375,1037.8572371699076,1460.393097788872
Heston,402.78,0.04071937723511825,5.0,260,4096,494.6627769501686,415.66348631358403,308.4442780741536,22.812149796456787,3.1986410232841767,76.57884653511933,113.12848844454876,160.67898961618909,415.66348631358403,1101.3528613235778,1579.0328647032632
Bates,402.78,0.04071937723511825,5.0,260,4096,491.5843454347204,427.00995443927013,296.8999599453164,22.047853774944237,6.01567963634494,73.7126868129789,102.11838932712315,158.76713872066372,427.00995443927013,1052.4038507418727,1568.310259095221
Bates-Hawkes,402.78,0.04071937723511825,5.0,260,4096,486.2689036015565,413.93941076680983,402.49557779742486,20.728165152578697,2.77059704225876,99.92938522206289,43.111509123838715,130.04682337970488,413.93941076680983,1029.6609647261553,1783.3918185483094
